Where did Volta enter retirement?	Spain	S09/data/set4/a10	Spain
Where did Volta enter retirement?	Spain	S09/data/set4/a10	Spain
Was Lombardy under Napoleon's rule in 1800?	yes	S09/data/set4/a10	yes
Was Lombardy under Napoleon's rule in 1800?	yes	S09/data/set4/a10	yes
Did Alessandro Volta live to be 80 years old?	no	S09/data/set4/a10	no
Is the electrolyte sulphuric acid?	Yes	S09/data/set4/a10	yes
Is volta buried in the city  of Como?	Yes	S09/data/set4/a10	yes
Was his 1800  paper written in French?	Yes	S09/data/set4/a10	yes
Did he receive the Society`s 1794 Copley Medal?	Yes	S09/data/set4/a10	yes
Did he become professor of experimental physics at the University of Pavia?	Yes	S09/data/set4/a10	yes
Did Avogadro live in England?	No	S09/data/set4/a8	no
Was Amedeo Avogadro born in North America?	no	S09/data/set4/a8	no
Was King Victor  Emmanuel  III there to pay  homage  to Avogadro?	Yes	S09/data/set4/a8	yes
Is avogadro `s  number commonly used to compute  the results  of chemical reactions?	Yes	S09/data/set4/a8	yes
Can the title of this famous 1811 paper be roughly translated into English as "essay on determining the Relative Masses of the Elementary Molecules of Bodies" ?	Yes.	S09/data/set4/a8	yes
Is The Celsius  crater  on the Moon named after him?	yes	S09/data/set4/a5	yes
Was Anders Celsius  ( November 27 ,  1701  April 25 ,  1744  ) a Swedish  astronomer?	yes	S09/data/set4/a5	yes
Was Anders Celsius the first  to perform  and  publish  careful experiments  aiming at the definition  of an international  temperature  scale  on scientific grounds?	yes	S09/data/set4/a5	yes
Was he professor at Uppsala University?	yes	S09/data/set4/a5	yes
Pronouns in which location are marked for person , number and gender?	NULL	S09/data/set5/a3	NULL
Have many European languages borrowed numerous words from it?	yes	S09/data/set5/a3	yes
Have managed populations of European honey bees experienced substantial declines?	yes	S09/data/set1/a8	yes
Was Blaise Pascal a mathematician of the first order?	yes	S09/data/set4/a4	yes
Was Blaise Pascal a mathematician of the first order?	yes	S09/data/set4/a4	yes
Could Blaise Pascal move without crutches?	no	S09/data/set4/a4	no
Has the name Pascal been given to the SI unit of pressure?	yes	S09/data/set4/a4	yes
Has the name Pascal been given to the SI unit of pressure?	yes	S09/data/set4/a4	yes
When did Charles-Augustin de Coulomb retire to a small estate he possessed at Blois?	1789	S09/data/set4/a6	1789
Did Charles-Augustin de Coulomb live to be 80 years old?	no	S09/data/set4/a6	no
Was The SI  unit  of charge , the  coulomb , named after him?	yes	S09/data/set4/a6	yes
Was coulomb born in Angoul̻me,  France ,  to a well  to do  family?	yes	S09/data/set4/a6	yes
Was his father ,  Henri  Coulomb , inspector of the Royal  Fields  in Montpellier?	Yes	S09/data/set4/a6	yes
Is coulomb distinguished in the history  of mechanics  and  of electricity and  magnetism?	yes	S09/data/set4/a6	yes
